GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Test-coverage/avro,org.apache.avro.reflect,MapEntry,23,0,0,0,9,0,4,0,4,0
Test-coverage/avro,org.apache.avro.reflect,FieldAccessUnsafe.UnsafeObjectField,19,0,0,0,6,0,4,0,4,0
Test-coverage/avro,org.apache.avro.reflect,FieldAccessUnsafe.UnsafeByteField,37,0,0,0,9,0,5,0,5,0
Test-coverage/avro,org.apache.avro.reflect,FieldAccessUnsafe.UnsafeCharField,37,0,0,0,9,0,5,0,5,0
Test-coverage/avro,org.apache.avro.reflect,ReflectData.new ClassValue() {...},15,0,2,0,4,0,3,0,2,0
Test-coverage/avro,org.apache.avro.reflect,ReflectionUtil.AccessorTestClass,197,0,2,0,30,0,5,0,4,0
Test-coverage/avro,org.apache.avro.reflect,FieldAccessUnsafe,122,0,18,0,31,0,12,0,3,0
Test-coverage/avro,org.apache.avro.reflect,ReflectionUtil,208,0,18,0,53,0,20,0,11,0
Test-coverage/avro,org.apache.avro.reflect,FieldAccess,3,0,0,0,1,0,1,0,1,0
Test-coverage/avro,org.apache.avro.reflect,FieldAccessUnsafe.UnsafeCustomEncodedField,42,0,0,0,11,0,6,0,6,0
Test-coverage/avro,org.apache.avro.reflect,CustomEncoding,11,0,0,0,3,0,3,0,3,0
Test-coverage/avro,org.apache.avro.reflect,FieldAccessReflect.ReflectionBasedAccessor,44,0,0,0,13,0,7,0,7,0
Test-coverage/avro,org.apache.avro.reflect,FieldAccessReflect,35,0,2,0,7,0,3,0,2,0
Test-coverage/avro,org.apache.avro.reflect,FieldAccessReflect.ReflectionBasesAccessorCustomEncoded,43,0,0,0,15,0,5,0,5,0
Test-coverage/avro,org.apache.avro.reflect,DateAsLongEncoding,35,0,2,0,10,0,4,0,3,0
Test-coverage/avro,org.apache.avro.reflect,ArrayAccessor,511,0,70,0,121,0,51,0,16,0
Test-coverage/avro,org.apache.avro.reflect,FieldAccessUnsafe.UnsafeCachedField,24,0,0,0,8,0,4,0,4,0
Test-coverage/avro,org.apache.avro.reflect,FieldAccessUnsafe.UnsafeShortField,37,0,0,0,9,0,5,0,5,0
Test-coverage/avro,org.apache.avro.reflect,ReflectData.ClassAccessorData,138,0,12,0,26,0,10,0,4,0
Test-coverage/avro,org.apache.avro.util.internal,Accessor.FieldAccessor,0,3,0,0,0,1,0,1,0,1
Test-coverage/avro,org.apache.avro.util.internal,JacksonUtils,420,0,92,0,92,0,51,0,5,0
Test-coverage/avro,org.apache.avro.util.internal,Accessor.ResolvingGrammarGeneratorAccessor,3,0,0,0,1,0,1,0,1,0
Test-coverage/avro,org.apache.avro.util.internal,Accessor.EncoderFactoryAccessor,3,0,0,0,1,0,1,0,1,0
Test-coverage/avro,org.apache.avro.util.internal,Accessor,74,10,8,2,24,6,15,2,10,2
Test-coverage/avro,org.apache.avro.util.internal,Accessor.JsonPropertiesAccessor,0,3,0,0,0,1,0,1,0,1
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.DefaultStartAction,7,0,0,0,3,0,1,0,1,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.FieldAdjustAction,13,0,0,0,5,0,1,0,1,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.UnionAdjustAction,21,0,0,0,5,0,2,0,2,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.SkipAction,17,0,0,0,4,0,2,0,2,0
Test-coverage/avro,org.apache.avro.io.parsing,ValidatingGrammarGenerator,225,0,21,0,37,0,20,0,3,0
Test-coverage/avro,org.apache.avro.io.parsing,SkipParser,100,0,14,0,25,0,12,0,5,0
Test-coverage/avro,org.apache.avro.io.parsing,JsonGrammarGenerator,191,0,10,0,25,0,10,0,3,0
Test-coverage/avro,org.apache.avro.io.parsing,Parser,258,0,28,0,54,0,25,0,11,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.Kind,74,0,0,0,8,0,1,0,1,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.EnumAdjustAction,54,0,12,0,10,0,7,0,1,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.Fixup,9,0,0,0,4,0,1,0,1,0
Test-coverage/avro,org.apache.avro.io.parsing,ValidatingGrammarGenerator.LitS,22,0,2,0,7,0,4,0,3,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.Sequence.new Iterator() {...},44,0,4,0,7,0,6,0,4,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.ImplicitAction,11,0,0,0,5,0,2,0,2,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol,481,0,41,0,99,0,49,0,26,0
Test-coverage/avro,org.apache.avro.io.parsing,ResolvingGrammarGenerator,1010,0,100,0,177,0,70,0,7,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.Sequence,89,0,4,0,18,0,8,0,6,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.Alternative,76,0,8,0,16,0,10,0,6,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.EnumLabelsAction,36,0,6,0,9,0,6,0,3,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.FieldOrderAction,34,0,6,0,7,0,4,0,1,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.Terminal,10,0,0,0,4,0,2,0,2,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.ResolvingAction,24,0,0,0,5,0,2,0,2,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.IntCheckAction,7,0,0,0,3,0,1,0,1,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.ErrorAction,7,0,0,0,3,0,1,0,1,0
Test-coverage/avro,org.apache.avro.io.parsing,ResolvingGrammarGenerator.new Accessor.ResolvingGrammarGeneratorAccessor() {...},8,0,0,0,3,0,2,0,2,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.Root,31,0,0,0,6,0,2,0,2,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.Repeater,51,0,0,0,10,0,3,0,3,0
Test-coverage/avro,org.apache.avro.io.parsing,Symbol.WriterUnionAction,4,0,0,0,2,0,1,0,1,0
